Sample_Number,Sample_Name,melanin_hull,melanin_pericarp,ant_pericarp,ant_aleurone,Nud,BLP,Myc2,Ant2,Color_Raw,Red_mean,Green_mean,Blue_mean,Red_std,Green_std,Blue_std
Wh_03,OWB26,no,no,no,no,no,0,0,0,"[[173, 122, 69], [173, 124, 71], [173, 123, 71], [175, 126, 76], [175, 125, 76], [177, 129, 80], [173, 123, 72], [172, 122, 72], [172, 122, 71]]",173.77777777777777,124.0,73.11111111111111,1.547598697464902,2.211083193570267,3.2810717911629776
Wh_04,OWB45,no,no,no,no,yes,0,0,0,"[[180, 121, 50], [185, 126, 54], [184, 130, 61], [186, 129, 59], [182, 124, 53], [184, 127, 57], [181, 125, 56], [184, 125, 50], [179, 123, 55]]",182.77777777777777,125.55555555555556,55.0,2.249828525701843,2.6712922844825124,3.5276684147527875
Wh_05,OWB82,no,no,no,no,yes,0,0,0,"[[180, 123, 64], [181, 124, 65], [185, 131, 70], [187, 125, 57], [191, 129, 54], [183, 125, 65], [195, 133, 59], [182, 125, 65], [195, 132, 55]]",186.55555555555554,127.44444444444444,61.55555555555556,5.499719409228703,3.593547028621384,5.166367972250075
Wh_06,k-13273,no,no,no,no,yes,0,0,0,"[[186, 132, 71], [188, 129, 56], [176, 122, 61], [181, 127, 62], [177, 123, 62], [185, 133, 67], [184, 131, 65], [183, 130, 65], [184, 130, 65]]",182.77777777777777,128.55555555555554,63.77777777777778,3.8232556742411674,3.624334762288909,3.965904066127721
Wh_07,k-17527,no,no,no,no,no,0,0,0,"[[179, 130, 62], [174, 130, 71], [179, 130, 61], [180, 131, 62], [185, 133, 62], [183, 132, 58], [179, 131, 64], [183, 134, 64], [179, 130, 61]]",180.11111111111111,131.22222222222223,62.77777777777778,3.0347778408328137,1.3966450099973928,3.3591592128513272
Wh_08,k-17805,no,no,no,no,no,0,0,0,"[[169, 120, 61], [170, 122, 62], [170, 123, 63], [177, 128, 63], [190, 144, 76], [176, 128, 64], [171, 122, 61], [175, 127, 64], [170, 122, 61]]",174.22222222222223,126.22222222222223,63.888888888888886,6.249938271300104,6.876332643007022,4.433319409613334
Wh_09,k-26321,no,no,no,no,no,0,0,0,"[[174, 131, 71], [180, 136, 71], [179, 136, 73], [182, 139, 73], [180, 137, 72], [181, 138, 73], [171, 129, 72], [171, 129, 73], [171, 130, 73]]",176.55555555555554,133.88888888888889,72.33333333333333,4.449996532111285,3.8425814368423516,0.816496580927726
Wh_10,Stepnoe,no,no,no,no,no,0,0,0,"[[172, 123, 72], [173, 123, 72], [174, 123, 71], [172, 122, 69], [172, 121, 67], [172, 121, 68], [174, 122, 67], [177, 127, 69], [177, 125, 68]]",173.66666666666666,123.0,69.22222222222223,1.9436506316151,1.8257418583505538,1.8724777273725242
Wh_11,Grace,no,no,no,no,no,0,0,0,"[[185, 133, 68], [181, 126, 60], [177, 125, 63], [183, 133, 71], [182, 131, 69], [181, 129, 67], [180, 129, 67], [177, 125, 63], [171, 119, 60]]",179.66666666666666,127.77777777777777,65.33333333333333,3.9157800414902435,4.262961354055751,3.7416573867739413
Wh_12,Podarok_Sibiri,no,no,no,no,no,0,0,0,"[[173, 125, 69], [171, 122, 67], [168, 119, 65], [171, 123, 69], [182, 135, 78], [174, 125, 72], [171, 123, 69], [176, 128, 72], [175, 127, 72]]",173.44444444444446,125.22222222222223,70.33333333333333,3.80383172636082,4.288946459026397,3.5276684147527875
Wh_13,Moskowskii_121,no,no,no,no,no,0,0,0,"[[172, 125, 73], [174, 128, 76], [170, 124, 73], [170, 123, 72], [174, 128, 76], [171, 124, 72], [171, 125, 73], [172, 125, 73], [172, 126, 74]]",171.77777777777777,125.33333333333333,73.55555555555556,1.3966450099973928,1.632993161855452,1.4229164972072996
Wh_14,Swetic,no,no,no,no,no,0,0,0,"[[182, 132, 70], [175, 125, 64], [172, 120, 63], [183, 132, 68], [181, 131, 68], [179, 128, 65], [179, 129, 67], [175, 124, 64], [173, 123, 63]]",177.66666666666666,127.11111111111111,65.77777777777777,3.80058475033046,4.067334492827362,2.3934065809486684
Wh_15,Reid,no,no,no,no,no,0,0,0,"[[185, 134, 59], [188, 133, 58], [182, 130, 56], [168, 115, 48], [183, 128, 53], [193, 138, 57], [183, 132, 57], [182, 129, 58], [183, 131, 56]]",183.11111111111111,130.0,55.77777777777778,6.0266896099202745,6.0,3.1894889098682944
Wh_16,Zolotnik,no,no,no,no,no,0,0,0,"[[174, 125, 75], [171, 122, 72], [172, 122, 74], [172, 122, 72], [178, 129, 78], [172, 122, 72], [183, 135, 83], [177, 129, 79], [172, 122, 74]]",174.55555555555554,125.33333333333333,75.44444444444444,3.7745083892140068,4.422166387140534,3.5935470286213844
Wh_17,Lipen,no,no,no,no,no,0,0,0,"[[173, 123, 63], [173, 123, 64], [171, 121, 61], [171, 122, 64], [173, 125, 67], [172, 123, 65], [172, 123, 66], [169, 120, 64], [172, 123, 66]]",171.77777777777777,122.55555555555556,64.44444444444444,1.227262335243029,1.34256066373273,1.7069212773041351
Wh_18,Winer,no,no,no,no,no,0,0,0,"[[171, 123, 74], [173, 125, 76], [169, 120, 72], [174, 126, 76], [170, 121, 72], [170, 121, 72], [171, 123, 75], [170, 122, 74], [168, 120, 73]]",170.66666666666666,122.33333333333333,73.77777777777777,1.763834207376394,2.0,1.547598697464902
